Assay	term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	adj.p.value
IL8	Day	29.968225187103208	14.984112593551604	2	1070.43712171978	24.92314859509558	2.6331183242817165e-11	4.900525770190973e-11
IL8	Allocation	0.8182046693205713	0.8182046693205713	1	589.3416641324628	1.3609238736936224	0.2438492685960423	0.6938469235049304
IL8	srf14	7.410148506128437	7.410148506128437	1	586.625392479448	12.325336664210813	4.811682724680725e-4	0.001111664629495202
IL8	DEXcorrected	0.9000359441836613	0.9000359441836613	1	572.3530765648288	1.4970342379481325	0.22163172957031127	0.28414221583230437
IL8	cbmi	2.2412857306714	2.2412857306714	1	568.3085628373433	3.7279416422451273	0.05400638514670128	0.14956287584168373
IL8	Age	3.1770924014518873	3.1770924014518873	1	570.9483619580791	5.284473506680056	0.021876673662956207	0.041878203869087596
IL8	Gender	1.3889189839603207	1.3889189839603207	1	574.193519233725	2.310195816246689	0.12907829109296962	0.21376083764245668
IL8	Day:Allocation	0.5361191361957562	0.2680595680978781	2	1070.2660272782448	0.44586480556183694	0.6403891985448567	0.7397599362500931
IL8	Day:srf14	2.3665560159619394	1.1832780079809697	2	1070.4460413856116	1.9681521637063661	0.14022004914619618	0.2763159791998572
IL8	Allocation:srf14	1.3906136118847583	1.3906136118847583	1	588.9659657738714	2.3130144992558073	0.12883168662036631	0.9089226009461266
IL8	Day:Allocation:srf14	0.4808986329627508	0.2404493164813754	2	1070.3620616566598	0.39994053747523617	0.6704600407764418	0.7880846093337124
VEGFA	Day	0.3350049814762345	0.16750249073811724	2	1040.8600967961434	0.4928558702402838	0.6110217970015863	0.6110217970015863
VEGFA	Allocation	0.5763505962855398	0.5763505962855398	1	587.1663127752316	1.6958420943120662	0.1933432202119015	0.6938469235049304
VEGFA	srf14	1.7326135172838542	1.7326135172838542	1	585.7617871472925	5.09800623911971	0.0243206189367377	0.04404003969625475
VEGFA	DEXcorrected	1.693044600188163	1.693044600188163	1	576.120315373887	4.981579474456534	0.026002302872698363	0.051239832131493836
VEGFA	cbmi	1.3957146369513075e-4	1.3957146369513075e-4	1	573.8059303854345	4.106721929748604e-4	0.9838389818801614	0.9838389818801614
VEGFA	Age	0.13287838674824848	0.13287838674824848	1	575.8922344103903	0.3909786215616553	0.532033132094303	0.5960149375956982
VEGFA	Gender	0.15214498248694464	0.15214498248694464	1	578.149954062286	0.4476682550561737	0.5037114262699405	0.5956437010288161
VEGFA	Day:Allocation	1.4497899603801747	0.7248949801900874	2	1040.7715388769543	2.1329160224427515	0.11900892173662074	0.5395010332001493
VEGFA	Day:srf14	2.1862649256943016	1.0931324628471508	2	1040.8632070823298	3.2164103882297472	0.040497622907434305	0.11644104993219564
VEGFA	Allocation:srf14	0.9946948133119379	0.9946948133119379	1	586.9533053628252	2.9267694807286317	0.08765004485944564	0.9089226009461266
VEGFA	Day:Allocation:srf14	0.5874617200247884	0.2937308600123942	2	1040.8231053961226	0.8642676176927562	0.42166220401019394	0.6192899523850202
CD8A	Day	18.085231141921774	9.042615570960887	2	1047.0603961720897	20.482087090785143	1.8807801876529673e-9	3.0734700627499706e-9
CD8A	Allocation	0.1226669803377849	0.1226669803377849	1	582.5253744031787	0.27784834539583975	0.5983156439401256	0.8542217242352288
CD8A	srf14	1.3778652529708002	1.3778652529708002	1	580.6039376654212	3.1209505578611862	0.07781705646516382	0.11849415416286309
CD8A	DEXcorrected	5.647552108800058	5.647552108800058	1	568.7066118524845	12.792057036424291	3.777386176079751e-4	0.0013320256515649647
CD8A	cbmi	0.44739195748011035	0.44739195748011035	1	565.6726553101595	1.013370629870836	0.3145270993226169	0.49007710824686823
CD8A	Age	1.6428284604269412	1.6428284604269412	1	568.1159446307964	3.7211087143572463	0.05422646174771129	0.08501183904351536
CD8A	Gender	2.549412632222521	2.549412632222521	1	570.8678048345083	5.774578290292258	0.016577679172229617	0.042719404020745554
CD8A	Day:Allocation	0.930029271591747	0.4650146357958735	2	1046.935804648609	1.0532870931113492	0.34915866397091083	0.6880479554720891
CD8A	Day:srf14	1.0843636094789546	0.5421818047394773	2	1047.065259031702	1.2280755337399571	0.29327709371563454	0.41997916458005685
CD8A	Allocation:srf14	0.2983560257469864	0.2983560257469864	1	582.2478155194605	0.6757949683313749	0.41137498949682794	0.9089226009461266
CD8A	Day:Allocation:srf14	1.0704431452826995	0.5352215726413497	2	1047.0067303762687	1.2123101748250278	0.29792645264801837	0.5544742313171453
MCP-3	Day	35.814001737210695	17.907000868605348	2	1044.5889937139139	46.92039232006839	3.0666125118089605e-20	7.084932354868977e-20
MCP-3	Allocation	1.5020419972134589	1.5020419972134589	1	579.9697369170523	3.9356897510422404	0.04774276538818405	0.5331275468347219
MCP-3	srf14	30.774781798071132	30.774781798071132	1	578.0519353256869	80.63688867417012	3.8016774728183806e-18	1.2735619533941574e-16
MCP-3	DEXcorrected	0.35705179907364887	0.35705179907364887	1	566.1776731083118	0.935556468335985	0.333836208623842	0.3994111781749538
MCP-3	cbmi	0.013203899535567347	0.013203899535567347	1	563.149792161765	0.034597203122369635	0.8525092037120486	0.9587040699560965
MCP-3	Age	1.8215730246785395	1.8215730246785395	1	565.5881962476271	4.77293331165328	0.02932026917416993	0.05309346039646987
MCP-3	Gender	5.96904247173599	5.96904247173599	1	568.3346291239098	15.64024130026281	8.628374864137185e-5	7.226263948714892e-4
MCP-3	Day:Allocation	0.21431066772584897	0.10715533386292449	2	1044.4641298560578	0.28077121015005035	0.7552580797078526	0.8433715223404354
MCP-3	Day:srf14	8.219957434597328	4.109978717298664	2	1044.5938670711596	10.769073797325607	2.3475467504515967e-5	2.6214272046709493e-4
MCP-3	Allocation:srf14	0.42267646278708537	0.42267646278708537	1	579.6926997000147	1.1075079296611114	0.29306278087488064	0.9089226009461266
MCP-3	Day:Allocation:srf14	1.3987573791704284	0.6993786895852142	2	1044.5352107992805	1.832530345891993	0.16052222711292694	0.41365343140638866
CDCP1	Day	37.77929031393325	18.889645156966626	2	1035.1411513036	60.97215397434011	9.273698600054944e-26	2.9046690269030784e-25
CDCP1	Allocation	0.0356086383761585	0.0356086383761585	1	581.6935425927823	0.114937859544016	0.7347133490980764	0.8584934985025493
CDCP1	srf14	1.0091258045140699	1.0091258045140699	1	580.3146515888883	3.2572646770773015	0.0716258998086377	0.11160314621345875
CDCP1	DEXcorrected	3.284926843766778	3.284926843766778	1	570.8134168156297	10.603114227305806	0.0011959092216603643	0.003483735558749757
CDCP1	cbmi	3.0824907709435183	3.0824907709435183	1	568.5379533181233	9.94968938530509	0.0016937341325086407	0.01891336447967982
CDCP1	Age	9.99418688460724	9.99418688460724	1	570.5974202536383	32.2593196702726	2.15122841446922e-8	1.8016537971179717e-7
CDCP1	Gender	0.1274085776079975	0.1274085776079975	1	572.8231653899039	0.41125046802170645	0.5215919941052178	0.6025286828456826
CDCP1	Day:Allocation	1.3289148554305714	0.6644574277152857	2	1035.053580166622	2.1447412196151685	0.11761845474700693	0.5395010332001493
CDCP1	Day:srf14	0.9171307186871914	0.4585653593435957	2	1035.1442222081523	1.4801610863973584	0.22808233001369732	0.3957546020606489
CDCP1	Allocation:srf14	0.21421541713602593	0.21421541713602593	1	581.4839662496391	0.6914463076866333	0.40601420108804764	0.9089226009461266
CDCP1	Day:Allocation:srf14	0.9407684811601821	0.47038424058009104	2	1035.104630212166	1.518310169695001	0.2195692885313093	0.5072807700550939
CD244	Day	7.161482297771154	3.580741148885577	2	1049.1591560876498	9.620497060419524	7.239714209609836e-5	9.701217040877181e-5
CD244	Allocation	0.3542978005438823	0.3542978005438823	1	587.1753226336754	0.9519037559323008	0.3296369597743828	0.6938469235049304
CD244	srf14	13.859887665023578	13.859887665023578	1	585.362074465854	37.23782395736783	1.9028976188344056e-9	1.5936767557738146e-8
CD244	DEXcorrected	11.889667055505264	11.889667055505264	1	573.8718383799805	31.944366319932058	2.501735482168347e-8	2.0952034663159906e-7
CD244	cbmi	8.657617565545484	8.657617565545484	1	570.9818658770914	23.260710807171595	1.816926262296567e-6	1.2173405957386999e-4
CD244	Age	3.694388458777704	3.694388458777704	1	573.3713346362537	9.92583709067613	0.0017147049228823995	0.004255008512337806
CD244	Gender	2.5010691003445498	2.5010691003445498	1	576.036268116822	6.719706040538406	0.00977732354113576	0.029776394420731635
CD244	Day:Allocation	1.3325281136265346	0.6662640568132673	2	1049.0427273858168	1.790073935400252	0.16745739694897369	0.5395010332001493
CD244	Day:srf14	9.720193654864815	4.8600968274324075	2	1049.1635563691239	13.05778477068068	2.5032606989512195e-6	3.3543693365946344e-5
CD244	Allocation:srf14	0.004325903493832087	0.004325903493832087	1	586.9109259495943	0.011622549666574635	0.9141848961219391	0.953325682273025
CD244	Day:Allocation:srf14	0.5663813020007356	0.2831906510003678	2	1049.1092660194913	0.7608577979269032	0.4675230974672046	0.6347564480815407
IL7	Day	3.098671450487633	1.5493357252438165	2	1062.322898267392	3.023310903968766	0.04905862621685089	0.05301496704079048
IL7	Allocation	0.44160278895200533	0.44160278895200533	1	592.2305225442461	0.8617257740258409	0.3536343725616822	0.7179849382312941
IL7	srf14	0.12838964021666457	0.12838964021666457	1	590.0094508790609	0.2505343373287183	0.6168857375379398	0.6560530859530471
IL7	DEXcorrected	0.03824905543376971	0.03824905543376971	1	577.0347943047826	0.07463765565802329	0.7847980509448798	0.821585459582921
IL7	cbmi	0.37780739343440667	0.37780739343440667	1	573.6029449021028	0.7372380263099584	0.3909057282922712	0.5632432141479904
IL7	Age	10.089416606712026	10.089416606712026	1	576.1796630360712	19.68807840983318	1.0925129817043369e-5	4.3856011837759703e-05
IL7	Gender	0.7912839888174094	0.7912839888174094	1	579.1619208634661	1.5440794868078709	0.21451446726937284	0.3057972192988932
IL7	Day:Allocation	1.7310895642025164	0.8655447821012582	2	1062.1810050199479	1.6889889873211308	0.18520184721796168	0.5395010332001493
IL7	Day:srf14	2.915092795948024	1.457546397974012	2	1062.3289870505346	2.844196933070634	0.05862411337195811	0.1354419171007308
IL7	Allocation:srf14	0.1849977426187968	0.1849977426187968	1	591.9160684890519	0.3609970927256574	0.5481829892847505	0.9089226009461266
IL7	Day:Allocation:srf14	0.2855800716204339	0.14279003581021696	2	1062.2611745081588	0.278634685310173	0.7568716248220375	0.8594982858148562
OPG	Day	41.2308397346574	20.6154198673287	2	1052.499193560126	56.62085720903828	4.414721831587129e-24	1.2324431779847401e-23
OPG	Allocation	0.08229737941060736	0.08229737941060736	1	583.9511983557015	0.2260321738909044	0.6346594333340716	0.8542217242352288
OPG	srf14	15.515086839524916	15.515086839524916	1	581.8346542718116	42.61264248703368	1.454288231189889e-10	1.3919615927103223e-9
OPG	DEXcorrected	4.575057822478892	4.575057822478892	1	569.2362402219102	12.565530916020933	4.2522491358825754e-4	0.0014245034605206628
OPG	cbmi	0.11264517028523247	0.11264517028523247	1	565.9441852076912	0.30938327441566704	0.5782787235214655	0.7697334291995993
OPG	Age	72.97298295071657	72.97298295071657	1	568.4741399555032	200.42244467298818	3.423558914098507e-39	2.293784472446e-37
OPG	Gender	1.8683207703548967	1.8683207703548967	1	571.3754077921124	5.1313979651995565	0.02387035077036056	0.05514874143497094
OPG	Day:Allocation	0.7404320623836126	0.3702160311918063	2	1052.3620798496486	1.0168092221021705	0.3621024745016731	0.69316759404606
OPG	Day:srf14	1.8858197535014114	0.9429098767507057	2	1052.5048896791614	2.589729718631801	0.0755184399332991	0.16321727340422706
OPG	Allocation:srf14	0.037061138298992324	0.037061138298992324	1	583.64974949134	0.10178950674476728	0.7498067827483479	0.9089226009461266
OPG	Day:Allocation:srf14	3.72814624612201	1.864073123061005	2	1052.4397112750412	5.119731676933318	0.006127389721965028	0.10263377784291422
LAP TGF-beta-1	Day	8.185467207694535	4.092733603847267	2	1055.5757102305356	7.614031335713615	5.21066594686947e-4	6.713742662312587e-4
LAP TGF-beta-1	Allocation	0.003052674289774306	0.003052674289774306	1	582.646601536912	0.005679127925213541	0.9399541600147169	0.9699605745694481
LAP TGF-beta-1	srf14	0.4624131536932601	0.4624131536932601	1	580.3302534575525	0.8602632331009709	0.35405061758066614	0.3953565229650772
LAP TGF-beta-1	DEXcorrected	1.4911042527089091	1.4911042527089091	1	567.1108250495373	2.774017467022305	0.09635769019675579	0.1537134581710152
LAP TGF-beta-1	cbmi	0.002011244874769458	0.002011244874769458	1	563.5635045025788	0.003741675609155903	0.9512461149795699	0.9815907655365975
